건물명,전체주소,가시성등급,거리,거리등급,점포수,상권발달등급,혼잡도비율,쾌적도등급,접근성소요시간,접근성등급,추천장소이름,장소종류,추천장소여부,Longitude,Latitude,지역1,지역2,지역3,도로명,우편번호,상세주소1,상세주소2
삼익주상복합아파트,서울특별시 동작구 만양로 84,4,2.198702688908866,3,391.0,4,1.274201020697825,5,462.0,1,,공동주택,,126.945067,37.510923,서울특별시,동작구,노량진동,만양로,06914,84,
리버힐삼성아파트,서울특별시 용산구 효창원로 17,3,0.9286488593799248,1,107.0,5,1.2547661280951055,5,620.0,2,,공동주택,,126.949686,37.53508,서울특별시,용산구,산천동,효창원로,04358,17,
노들나루,서울특별시 영등포구 여의동로 290,1,0.6155902435576307,1,2138.0,1,1.8626141135104726,5,541.0,2,루버스카페,카페,yes,126.9383,37.5253,서울특별시,영등포구,여의도동,여의동로,07337,290,
노들나루,서울특별시 영등포구 여의동로 290,1,0.6155902435576307,1,2138.0,1,1.8626141135104726,5,541.0,2,프랑제리 이크루즈 한강공원점,카페,yes,126.9383,37.5253,서울특별시,영등포구,여의도동,여의동로,07337,290,
노들나루,서울특별시 영등포구 여의동로 290,1,0.6155902435576307,1,2138.0,1,1.8626141135104726,5,541.0,2,애슐리퀸즈 여의도한강공원점,식당,yes,126.9383,37.5253,서울특별시,영등포구,여의도동,여의동로,07337,290,
대림아파트,서울특별시 동작구 상도로60길 20,5,4.280430000334109,5,251.25,4,0.9900528040084795,2,328.0,1,,공동주택,,126.953276,37.493193,서울특별시,동작구,상도동,상도로60길,07040,20,
신동아리버파크빌,서울특별시 동작구 만양로3길 20,5,2.513472562496611,3,391.0,4,1.274201020697825,5,711.0,2,,공동주택,,126.946315,37.508225,서울특별시,동작구,노량진동,만양로3길,06926,20,
BNK금융타워,서울특별시 영등포구 국제금융로2길 24,2,1.5737000576388918,2,2138.0,1,1.8626141135104726,5,364.0,1,,업무시설,,126.924845,37.524316,서울특별시,영등포구,여의도동,국제금융로2길,07325,24,
미래스위트하우스,서울특별시 마포구 독막로32길 17,4,1.7768551654142826,2,228.0,5,1.1025530925160576,3,426.0,1,,공동주택,,126.93873,37.546307,서울특별시,마포구,신수동,독막로32길,04090,17,
서울시티타워,서울특별시 중구 후암로 110,4,3.9507300803457044,4,635.0,2,1.0958549238460222,3,345.0,1,,업무시설,,126.974104,37.55432,서울특별시,중구,남대문로5가,후암로,04637,110,
유한양행,서울특별시 동작구 노량진로 74,2,2.0729592483908523,3,291.0,4,0.9551471555738624,1,595.0,2,,업무시설,,126.932671,37.512974,서울특별시,동작구,대방동,노량진로,06927,74,
지에스 한강에클라트,서울특별시 용산구 이촌로 1,3,1.2837039230976952,2,1097.0,1,1.075188262503883,3,895.0,2,,업무시설,,126.955443,37.531451,서울특별시,용산구,한강로3가,이촌로,04373,1,
경향렉스빌,서울특별시 동작구 양녕로23길 9,5,3.903225622373135,4,251.25,4,0.9900528040084795,2,855.0,2,,공동주택,,126.94173,37.495327,서울특별시,동작구,상도동,양녕로23길,07049,9,
창전동삼성아파트,서울특별시 마포구 서강로 97,4,2.5159461677460553,3,570.0,2,1.1121645792532693,4,486.0,2,,공동주택,,126.931588,37.5518,서울특별시,마포구,창전동,서강로,04064,97,
숭실대학교,서울특별시 동작구 상도로 369,3,4.296945812516326,5,251.25,4,0.9900528040084795,2,526.0,2,,교육연구시설,,126.960799,37.495136,서울특별시,동작구,상도동,상도로,06978,369,
아시아원빌딩,서울특별시 영등포구 의사당대로 18,4,2.0959081646069984,3,2138.0,1,1.8626141135104726,5,362.0,1,,업무시설,,126.917541,37.52713,서울특별시,영등포구,여의도동,의사당대로,07236,18,
보라매우성아파트,서울특별시 동작구 보라매로5길 5,4,4.445861711827903,5,270.0,4,0.9222882901784298,1,205.0,1,,공동주택,,126.925376,37.492396,서울특별시,동작구,신대방동,보라매로5길,07071,5,
여의나루역,서울특별시 영등포구 여의동로 343,1,0.7258758809759073,1,2138.0,1,1.8626141135104726,5,111.0,1,,비건물,,126.9333,37.528,서울특별시,영등포구,여의도동,여의동로,07336,343,
현대아파트,서울특별시 관악구 관악로40길 60,3,4.4762089438364985,5,299.44444444444446,4,0.9861283429148703,2,704.0,2,,공동주택,,126.960699,37.493344,서울특별시,관악구,봉천동,관악로40길,08730,60,
대우 월드마크 마포,서울특별시 마포구 백범로 212,3,1.7229231904027769,2,492.0,3,0.9048433232873112,1,120.0,1,,공동주택,,126.953369,37.542382,서울특별시,마포구,신공덕동,백범로,04196,212,
삼성아파트,서울특별시 마포구 도화길 28,3,1.2927979490748358,2,443.0,3,1.2165795426864432,5,392.0,1,,공동주택,,126.949336,37.539957,서울특별시,마포구,도화동,도화길,04170,28,
명수대현대아파트,서울특별시 동작구 현충로 119,4,3.3967228288327993,4,404.0,4,1.162448450048809,5,454.0,1,,공동주택,,126.9675,37.5083,서울특별시,동작구,흑석동,현충로,06904,119,
코레일유통 사옥,서울특별시 영등포구 국회대로 612,5,3.474249634008795,4,661.0,2,0.9884981019845074,2,474.0,2,,업무시설,,126.901994,37.525721,서울특별시,영등포구,당산동3가,국회대로,07258,612,
용성비즈텔,서울특별시 용산구 한강대로 109,5,2.4010958942890293,3,1097.0,1,1.075188262503883,3,158.0,1,,업무시설,,126.968167,37.530005,서울특별시,용산구,한강로2가,한강대로,04376,109,
양평동한신아파트,서울특별시 영등포구 양평로24길 9,5,4.478587143042514,5,418.0,4,1.0390500250995784,3,506.0,2,,공동주택,,126.891979,37.541133,서울특별시,영등포구,양평동5가,양평로24길,07204,9,
마포킹덤힐,서울특별시 마포구 마포대로4길 120,4,0.691058521624096,1,452.0,3,1.1702844584737415,5,434.0,1,,공동주택,,126.945488,37.535487,서울특별시,마포구,마포동,마포대로4길,04178,120,
리첸시아 용산,서울특별시 용산구 백범로 341,4,2.5263969528141765,3,333.0,4,1.1310545001295456,4,500.0,2,,공동주택,,126.967966,37.537975,서울특별시,용산구,문배동,백범로,04315,341,
상도현대아파트,서울특별시 동작구 사당로2길 2-32,3,4.350846721789613,5,251.25,4,0.9900528040084795,2,698.0,2,,공동주택,,126.959119,37.494049,서울특별시,동작구,상도동,사당로2길,07027,2,32
대방동현대아파트현대종합상가,서울특별시 동작구 노량진로 48,2,2.1330843174761185,3,291.0,4,0.9551471555738624,1,494.0,2,,공동주택,,126.931086,37.512906,서울특별시,동작구,대방동,노량진로,06940,48,
화남빌라,서울특별시 마포구 백범로5길 19,5,2.5288256925930113,3,1686.5,1,0.9932577193081039,2,254.0,1,,공동주택,,126.938293,37.553069,서울특별시,마포구,노고산동,백범로5길,04108,19,
여의도 리브하임,서울특별시 영등포구 버드나루로 42,5,2.7329777087654468,3,1061.0,1,0.9735394936069987,2,554.0,2,,업무시설,,126.911649,37.522402,서울특별시,영등포구,영등포동2가,버드나루로,07248,42,
현대빌딩,서울특별시 마포구 마포대로 15,3,0.9534442042404174,1,452.0,3,1.1702844584737415,5,319.0,1,,업무시설,,126.943973,37.538655,서울특별시,마포구,마포동,마포대로,04165,15,
한솔아파트,서울특별시 영등포구 양평로30길 51,5,4.937083997712288,5,418.0,4,1.0390500250995784,3,760.0,2,,공동주택,,126.887739,37.544263,서울특별시,영등포구,양평동6가,양평로30길,07201,51,
신촌럭키아파트,서울특별시 서대문구 이화여대길 50-12,5,3.2588600105200163,4,1405.0,1,0.9357506673795457,1,478.0,2,,공동주택,,126.948189,37.559163,서울특별시,서대문구,대현동,이화여대길,03764,50,12
지에스빌딩,서울특별시 동작구 노량진로 192,5,2.0100185956537917,3,391.0,4,1.274201020697825,5,410.0,1,,교육연구시설,,126.9472,37.513042,서울특별시,동작구,노량진동,노량진로,06913,192,
롯데호텔 L7홍대,서울특별시 마포구 양화로 141,4,3.286448801475976,4,3010.0,1,1.0012170675159393,2,197.0,1,,숙박시설,,126.921625,37.555701,서울특별시,마포구,동교동,양화로,03995,141,
염리삼성래미안,서울특별시 마포구 백범로25길 63,5,2.1524146404745803,3,231.0,4,1.1245555065053339,4,502.0,2,,공동주택,,126.947408,37.54909,서울특별시,마포구,염리동,백범로25길,04139,63,
신동아리버파크아파트,서울특별시 동작구 만양로3길 78,4,2.6757564512551206,3,391.0,4,1.274201020697825,5,437.0,1,,공동주택,,126.941167,37.506361,서울특별시,동작구,노량진동,만양로3길,06925,78,
여의도여자고등학교,서울특별시 영등포구 국제금융로7가길 13,1,0.977794900665517,1,2138.0,1,1.8626141135104726,5,709.0,2,,교육연구시설,,126.935529,37.52275,서울특별시,영등포구,여의도동,국제금융로7가길,07341,13,
메트로디오빌,서울특별시 마포구 백범로 199,4,1.7950889834970227,2,492.0,3,0.9048433232873112,1,128.0,1,,업무시설,,126.952886,37.543498,서울특별시,마포구,신공덕동,백범로,04195,199,
여의도침례교회,서울특별시 영등포구 국제금융로 118,2,1.532662177310102,2,2138.0,1,1.8626141135104726,5,323.0,1,,종교시설,,126.934282,37.517693,서울특별시,영등포구,여의도동,국제금융로,07343,118,
이대역 푸르지오 시티,서울특별시 마포구 신촌로 170,4,2.8972676176183576,3,363.0,4,0.9679476059068545,1,195.0,1,,업무시설,,126.944342,37.55634,서울특별시,마포구,대흥동,신촌로,04104,170,
전자랜드,서울특별시 용산구 청파로 74,5,1.7047367544971874,2,1097.0,1,1.075188262503883,3,567.0,2,용산전자랜드,공공,yes,126.960032,37.53285,서울특별시,용산구,한강로3가,청파로,04372,74,
베스텔,서울특별시 마포구 대흥로 169,3,2.6631283963089345,3,363.0,4,0.9679476059068545,1,248.0,1,,제2종근린생활시설,,126.945662,37.55408,서울특별시,마포구,대흥동,대흥로,04106,169,
세연3차,서울특별시 마포구 대흥로24라길 12,2,2.7865094689128824,3,231.0,4,1.1245555065053339,4,320.0,1,,공동주택,,126.947844,37.554879,서울특별시,마포구,염리동,대흥로24라길,04122,12,
본동삼성래미안아파트,서울특별시 동작구 매봉로 123,4,2.4528440405888836,3,533.0,2,1.3250104755287633,5,655.0,2,,공동주택,,126.950461,37.509697,서울특별시,동작구,본동,매봉로,06916,123,
아이파크상도동,서울특별시 동작구 장승배기로 26,4,3.2839201405371687,4,251.25,4,0.9900528040084795,2,545.0,2,,공동주택,,126.94238,37.500913,서울특별시,동작구,상도동,장승배기로,06967,26,
중산아파트,서울특별시 용산구 이촌로2가길 36,1,1.100695301845769,2,120.5,5,2.1869272628538243,,1217.0,3,,공동주택,,126.953332,37.529217,서울특별시,용산구,이촌동,이촌로2가길,04374,36,
삼성테마트,서울특별시 용산구 원효로 51,4,0.8913390460828329,1,107.0,5,1.2547661280951055,5,609.0,2,,근린생활시설,,126.950069,37.533871,서울특별시,용산구,원효로4가,원효로,04359,51,
